time (s),speed (km/h)
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.7
22.0,2.1
23.0,9.2
24.0,15.6
25.0,19.8
26.0,19.8
27.0,22.7
28.0,25.5
29.0,29.8
30.0,34.0
31.0,36.9
32.0,38.3
33.0,40.4
34.0,43.2
35.0,46.1
36.0,46.1
37.0,46.1
38.0,44.6
39.0,46.1
40.0,48.2
41.0,48.9
42.0,48.2
43.0,46.8
44.0,44.6
45.0,42.5
46.0,41.8
47.0,41.1
48.0,39.7
49.0,36.1
50.0,34.7
51.0,34.7
52.0,36.9
53.0,36.1
54.0,36.1
55.0,34.7
56.0,32.6
57.0,29.1
58.0,24.1
59.0,20.6
60.0,15.6
61.0,11.3
62.0,9.2
63.0,9.2
64.0,9.2
65.0,9.9
66.0,10.6
67.0,12.0
68.0,11.3
69.0,7.8
70.0,1.4
71.0,0.0
72.0,0.0
73.0,0.0
74.0,0.0
75.0,0.0
76.0,0.0
77.0,0.0
78.0,0.0
79.0,0.0
80.0,0.0
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.0
89.0,0.0
90.0,0.0
91.0,0.0
92.0,0.0
93.0,0.7
94.0,2.1
95.0,9.2
96.0,15.6
97.0,19.8
98.0,19.8
99.0,22.7
100.0,25.5
101.0,29.8
102.0,34.0
103.0,36.9
104.0,38.3
105.0,40.4
106.0,43.2
107.0,46.1
108.0,46.1
109.0,46.1
110.0,44.6
111.0,46.1
112.0,48.2
113.0,48.9
114.0,48.2
115.0,46.8
116.0,44.6
117.0,42.5
118.0,41.8
119.0,41.1
120.0,39.7
121.0,36.1
122.0,34.7
123.0,34.7
124.0,36.9
125.0,36.1
126.0,36.1
127.0,34.7
128.0,32.6
129.0,29.1
130.0,24.1
131.0,20.6
132.0,15.6
133.0,11.3
134.0,9.2
135.0,9.2
136.0,9.2
137.0,9.9
138.0,10.6
139.0,12.0
140.0,11.3
141.0,7.8
142.0,1.4
143.0,0.0
144.0,0.0
145.0,0.0
146.0,0.0
147.0,0.0
148.0,0.0
149.0,0.0
150.0,0.0
151.0,0.0
152.0,0.0
153.0,0.7
154.0,1.5
155.0,4.4
156.0,5.9
157.0,7.3
158.0,9.5
159.0,8.1
160.0,3.7
161.0,2.9
162.0,4.4
163.0,0.7
164.0,0.0
165.0,0.0
166.0,2.2
167.0,2.2
168.0,2.9
169.0,7.3
170.0,5.9
171.0,7.3
172.0,8.8
173.0,11.0
174.0,15.4
175.0,13.9
176.0,11.7
177.0,11.0
178.0,5.1
179.0,0.0
180.0,0.0
181.0,0.0
182.0,0.0
183.0,0.0
184.0,0.0
185.0,0.0
186.0,0.0
187.0,0.0
188.0,0.0
189.0,0.0
190.0,0.0
191.0,0.0
192.0,0.0
193.0,0.0
194.0,0.0
195.0,0.0
196.0,0.0
197.0,0.0
198.0,0.0
199.0,0.0
200.0,0.0
201.0,0.0
202.0,0.0
203.0,0.0
204.0,0.0
205.0,0.0
206.0,0.0
207.0,0.0
208.0,0.7
209.0,11.0
210.0,13.2
211.0,13.9
212.0,14.7
213.0,15.4
214.0,16.9
215.0,16.1
216.0,15.4
217.0,13.9
218.0,13.2
219.0,13.2
220.0,15.4
221.0,16.9
222.0,16.1
223.0,14.7
224.0,13.2
225.0,13.9
226.0,14.7
227.0,18.3
228.0,22.0
229.0,30.1
230.0,32.3
231.0,32.3
232.0,38.1
233.0,38.1
